Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Western Martial Arts Weaponry Demonstration",5/3/2014,14:00,5/3/2014,15:50,FALSE,"Come see demonstrations in the use of swords, spears, shields, and other western martial arts weapons!  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Western Spear Techniques Workshop",5/3/2014,17:00,5/3/2014,17:50,FALSE,"Learn to use a spear! This active workshop focuses on techniques of spear drawn from western historical sources. Come dressed and ready to move. There are a limited number of available spaces for this workshop, so please sign up at Ops!  Speakers include:Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Throwing and Catching Practice Swords",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Learn to throw and catch swords! There will be a short lesson followed by fun and awesome practice. In consideration of safety, we will be using training weapons. There are a limited number of available spaces for this workshop, so please sign up at Ops!  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Open Source Martial Arts",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Martial artists of all backgrounds join in sharing and learning skills with other martial artists! Please bring any training equipment that you would like to use with you. This will be an open format opportunity for developing new understanding with martial artists of other backgrounds.
  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Western Swordsmanship Workshop",5/4/2014,15:00,5/4/2014,15:50,FALSE,"Learn to use a sword!  In this active workshop you will learn swordsmanship techniques drawn from western historical sources. Come dressed and ready to move. There are a limited number of available spaces for this workshop, so please sign up at Ops!  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Geek Culture: Embracing Exercise?",5/3/2014,16:00,5/3/2014,16:50,FALSE,"For years, geeky folk seemed to regard their bodies are mobile devices for their brains, but not anymore. Now as one walks through the con, snippets of conversations about Warrior Dashes and Zombie Runs, about FitBits and heart monitors, can often be heard. How is exercise changing so that it appeals to geeks? How is geek culture changing to embrace sport? And what are the coolest devices out there to make it all fun?  Speakers include:Gini Judd, Angie Rush, Heather Gutterman - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"History and Sampling of Port",5/2/2014,21:00,5/2/2014,22:50,FALSE,"Many alcoholic drinks have histories, but Port will be the focus of this panel. We will discuss this history as we sample different varieties and labels of this illustrious drink. Do you have a favorite? Bring a bottle to share and we will be all the merrier for it. 21 and over only. Sign up at Ops!  Speakers include:Heather Gutterman, Caitlynn Poirier, Taylor Watkins - Track: Food, After Dark  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Stupendous Jello Shots",5/3/2014,19:00,5/3/2014,19:50,FALSE,"Explore the dark secrets of making the BEST jello shots of all time. We'll share some with you to prove it!. Already know all there is about jello shots? Let's go with 'pfffft!' and come anyway. 21 and over, please.  Speakers include:Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin - Track: Food, After Dark  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"The Pudding Shot Technique",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Fluffy, creamy, boozey, delicious-y... We have some lovely recipes to share. Live demo, including proper eating techniques. 21 and over, please. There will be samples.  Speakers include:Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin - Track: Food, After Dark  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Cheese Tastings and Pairings",5/4/2014,10:00,5/4/2014,10:50,FALSE,"Explore the amazing depth of field the cheese world has to offer. Bring eager tastebuds to fully experience the breadth of pairing cheese with other foods.  Speakers include:Heather Gutterman, Caitlynn Poirier, Taylor Watkins, Mary Poirier, Douglas Tobin - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Fighting in the Movies - Chicks That Kick Ass",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Ever wonder if the action in films could happen in real life? Join us as we review and discuss some of the top female fighting scenes in cinema. We will watch movie clips and then examine the hand-to-hand techniques, “prop” fighting, and swordsmanship in each clip.  Speakers include:Shannon Marshall, Heather Gutterman, Mary Poirier, Caitlynn Poirier, Eva Galperin - Track: Film, Action Adventure  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"The Living Western Martial Arts",5/4/2014,12:00,5/4/2014,12:50,FALSE,"Increasingly, we are developing the ability to study the martial traditions of many western cultures.  This panel will discuss the philosophy, source materials, tools, and techniques of modern Western martial arts.  Speakers include:Taylor Watkins, Douglas Scholl, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
